mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
mmap,4,8,1.0,1_user_space,4,9111002948.082838,5260236660.293105,12148001999.9042,12148001999.9042,12148001999.9042,12148001999.9042,9111002948.082838
mmap,4,8,1.0,2_kernel_entry,1111,1820.946983757389,1565.5185006745303,1448.1546878700494,2896.309375740099,5792.618751480198,11585.237502960395,1765.3125327341513
mmap,4,8,1.0,3_filesystem,27,182574.7613892462,259878.18588906832,23170.47500592079,741455.2001894653,741455.2001894653,741455.2001894653,182574.7613892462
mmap,4,8,1.0,4_block_layer,84,3594.526814534586,3258.245427420428,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3594.526814534586
mmap,4,8,1.0,5_driver_ssd,113,238881.445857502,127053.2061490232,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,236401.46796581344
mmap,4,8,1.0,6_context_switch,13420,3845810.6653041686,104835492.31324686,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2961536.2360365726
mmap,4,4,1.0,1_user_space,2,6074003896.261476,6073998103.642724,6074003896.261476,10933202379.175655,12026522037.831345,12135854003.696915,6074003896.261476
mmap,4,4,1.0,2_kernel_entry,725,1838.6570899094904,2195.2686454567615,1448.1546878700494,2896.309375740099,5792.618751480198,21177.814155413944,1745.5254113989206
mmap,4,4,1.0,3_filesystem,7,124127.54467457566,253760.47550718507,5792.618751480198,352191.22008999623,702528.802179518,737562.560388471,124127.54467457566
mmap,4,4,1.0,4_block_layer,18,5712.165713265195,4330.287157244602,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,5712.165713265195
mmap,4,4,1.0,5_driver_ssd,18,2817787.210442256,10826100.919890538,185363.80004736633,370727.60009473265,39449123.92608042,46652731.92352128,2817787.210442256
mmap,4,4,1.0,6_context_switch,85,142945066.26637992,1309859098.5052292,23170.47500592079,46340.95001184158,1943836025.5766704,11127585402.471584,142945066.26637992
fread,2,4,0.5,1_user_space,4,75304.04376924256,30099.329959319697,92681.90002368316,92681.90002368316,92681.90002368316,92681.90002368316,75304.04376924256
fread,2,4,0.5,2_kernel_entry,3726921,548.1675047953113,330.67513510311034,362.03867196751236,724.0773439350247,724.0773439350247,724.0773439350247,541.916545972328
