mode,cores,threads,pf,stage,count,avg,std,p50,p90,p99,p999,trimmed_mean
mmap,4,8,1.0,2_kernel_entry,899,1655.9544150505133,1506.5694977603002,1448.1546878700494,2896.309375740099,5792.618751480198,12766.93172826339,1574.4377127466
mmap,4,8,1.0,3_filesystem,19,94816.02272159692,177092.56153029943,23170.47500592079,222436.56005683946,674724.2321724135,734782.1033877612,94816.02272159692
mmap,4,8,1.0,4_block_layer,46,4076.8702625906835,4353.266578729362,2896.309375740099,11585.237502960395,17957.11812958858,22649.139318287635,4076.8702625906835
mmap,4,8,1.0,5_driver_ssd,64,241841.8328742982,140575.47188610112,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,241841.8328742982
mmap,4,8,1.0,6_context_switch,13396,3852555.8824350704,104929259.4781221,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2965481.9788842034
mmap,4,8,0.8,2_kernel_entry,766,2054.073196306539,2354.3747832794024,1448.1546878700494,5792.618751480198,5792.618751480198,19752.8299425519,1946.9207306338035
mmap,4,8,0.8,3_filesystem,19,96340.39607724962,176373.09339935504,23170.47500592079,222436.56005683946,674724.2321724135,734782.1033877612,96340.39607724962
mmap,4,8,0.8,4_block_layer,44,4739.415342120163,3687.093415041131,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,4739.415342120163
mmap,4,8,0.8,5_driver_ssd,61,59734244.252968915,226650105.98879462,185363.80004736633,23726566.40606289,1062950174.9916164,1472945242.4883878,59734244.252968915
mmap,4,8,0.8,6_context_switch,13418,3850037.201115393,104843252.54839906,2965820.800757861,2965820.800757861,2965820.800757861,2965820.800757861,2965820.8007578617
fread,2,4,0.2,2_kernel_entry,813847,563.0986583333081,322.19386711892,724.0773439350247,724.0773439350247,724.0773439350247,1448.1546878700494,556.7087148635588
fread,2,4,0.2,3_filesystem,31,50171.55273459462,75542.22487482417,23170.47500592079,92681.90002368316,315118.46008052264,365166.6860933121,50171.55273459462
fread,2,4,0.2,4_block_layer,59,3583.569227610631,3467.2357178486636,2896.309375740099,11585.237502960395,11585.237502960395,11585.237502960395,3583.569227610631
fread,2,4,0.2,5_driver_ssd,65,175382.67235250815,56605.636529077325,185363.80004736633,185363.80004736633,370727.60009473265,370727.60009473265,175382.67235250815
fread,2,4,0.2,6_context_switch,6094,5266706.191630313,155564377.74604422,2965820.800757861,5931641.601515722,5931641.601515722,5931641.601515722,3275608.577736922
mmap,2,2,0.4,2_kernel_entry,983,1463.6232781270542,1131.9950853581354,724.0773439350247,2896.309375740099,5792.618751480198,11585.237502960395,1418.1411192095309
mmap,2,2,0.4,3_filesystem,25,130681.47903339326,188457.52530234712,23170.47500592079,370727.60009473265,652480.5761667287,732557.7377871927,130681.47903339326
mmap,2,2,0.4,4_block_layer,77,3874.2839701458465,3929.3105411841084,2896.309375740099,11585.237502960395,14365.694503670831,22289.99695569588,3874.2839701458465
mmap,2,2,0.4,5_driver_ssd,110,251083.69279143252,127658.68054507076,185363.80004736633,370727.60009473265,741455.2001894653,741455.2001894653,248009.89913744846
mmap,2,2,0.4,6_context_switch,297,40912310.55712948,703710294.5722488,5792.618751480198,11585.237502960395,48194.58801231619,8552303143.3022785,8777.893261628697
fread,4,8,0.6,2_kernel_entry,759074,553.0581724084126,328.39638878214635,724.0773439350247,724.0773439350247,724.0773439350247,1448.1546878700494,546.2141307156794
fread,4,8,0.6,3_filesystem,39,117634.71926082864,324801.2147795513,23170.47500592079,185363.80004736633,1482910.4003789306,1482910.4003789306,117634.71926082864
fread,4,8,0.6,4_block_layer,84,3999.6653284029926,3208.1108999667176,2896.309375740099,9847.451877516352,11585.237502960395,11585.237502960395,3999.6653284029926
